ID_Pedido,Data,Produto,Categoria,Quantidade,Preço_Unitário,Custo_Envio
75,2024-08-10,Monitor 4K,Hardware,1,2200.00,50.00
76,2024-08-12,Mouse Gamer,Acessórios,12,80.00,10.00
77,2024-08-15,Headset Wireless,Áudio,3,250.00,20.00
78,2024-08-18,Webcam 1080p,Acessórios,2,300.00,15.00
79,2024-08-20,Cadeira Ergonômica,Móveis,1,1200.00,100.00
80,2024-08-25,Placa de Vídeo,Hardware,1,3500.00,60.00
81,2024-09-01,Teclado Mecânico,Acessórios,2,150.00,15.00
82,2024-09-04,SSD 1TB,Hardware,5,450.00,12.00
83,2024-09-07,Monitor 4K,Hardware,1,2200.00,50.00
84,2024-09-10,Mouse Gamer,Acessórios,15,80.00,10.00
85,2024-09-12,Headset Wireless,Áudio,5,250.00,20.00
86,2024-09-15,Webcam 1080p,Acessórios,4,300.00,15.00
87,2024-09-18,Cadeira Ergonômica,Móveis,2,1200.00,100.00
88,2024-09-20,Placa de Vídeo,Hardware,1,3500.00,60.00
89,2024-09-22,Teclado Mecânico,Acessórios,3,150.00,15.00
90,2024-09-25,SSD 1TB,Hardware,3,450.00,12.00
91,2024-10-01,Monitor 4K,Hardware,2,2200.00,50.00
92,2024-10-04,Mouse Gamer,Acessórios,20,80.00,10.00
93,2024-10-07,Headset Wireless,Áudio,6,250.00,20.00
94,2024-10-10,Webcam 1080p,Acessórios,2,300.00,15.00
95,2024-10-12,Cadeira Ergonômica,Móveis,1,1200.00,100.00
96,2024-10-15,Placa de Vídeo,Hardware,1,3500.00,60.00
97,2024-10-18,Teclado Mecânico,Acessórios,5,150.00,15.00
98,2024-10-20,SSD 1TB,Hardware,8,450.00,12.00
99,2024-10-22,Monitor 4K,Hardware,1,2200.00,50.00
100,2024-10-25,Mouse Gamer,Acessórios,10,80.00,10.00
